Senser01,Senser02,Senser03,Senser04
3325,3995,-3008,0
3333,4026,-3009,0
3341,4052,-3012,0
3349,4084,-3014,0
3356,4110,-3018,0
3364,4140,-3020,0
3372,4167,-3021,0
3380,4191,-3025,0
3388,4222,-3027,0
3396,4249,-3028,0
3404,4272,-3029,0
3412,4302,-3031,0
3420,4328,-3033,0
3428,4351,-3035,0
3436,4380,-3037,0
3444,4405,-3040,0
3452,4428,-3041,0
3460,4450,-3044,0
3468,4475,-3047,0
3476,4500,-3048,0
3484,4522,-3048,0
3492,4546,-3051,0
3500,4568,-3053,0
3508,4589,-3055,0
3516,4610,-3058,0
3524,4631,-3060,0
3531,4651,-3061,0
3539,4672,-3064,0
3547,4694,-3067,0
3555,4716,-3068,0
3562,4736,-3068,0
3570,4757,-3070,0
3578,4775,-3072,0
3586,4793,-3073,0
3594,4811,-3074,0
3602,4830,-3075,0
3610,4849,-3076,0
3618,4868,-3077,0
3626,4887,-3077,0
3633,4903,-3078,0
3641,4920,-3079,0
3648,4932,-3080,0
3656,4950,-3080,0
3664,4967,-3081,0
3672,4982,-3082,0
3680,4996,-3084,0
3688,5010,-3087,0
3696,5027,-3087,0
3704,5040,-3088,0
3712,5051,-3090,0
3720,5067,-3093,0
3728,5080,-3096,0
3736,5091,-3099,0
3744,5107,-3101,0
3752,5119,-3106,0
3760,5129,-3108,0
3768,5142,-3111,0
3776,5151,-3113,0
3784,5165,-3115,0
3792,5171,-3116,0
3800,5186,-3117,0
3808,5191,-3117,0
3815,5204,-3117,0
3823,5210,-3117,0
3830,5221,-3118,0
3838,5228,-3118,0
3846,5236,-3118,0
3854,5245,-3119,0
3862,5250,-3119,0
3870,5260,-3120,0
3878,5267,-3120,0
3886,5270,-3120,0
3894,5279,-3120,0
3902,5285,-3120,0
3910,5289,-3120,0
3918,5292,-3120,0
3926,5300,-3121,0
3933,5305,-3121,0
3942,5308,-3121,0
3949,5310,-3121,0
3958,5313,-3121,0
3965,5320,-3121,0
3973,5322,-3121,0
3981,5325,-3121,0
3989,5327,-3121,0
3997,5328,-3121,0
4005,5329,-3121,0
4013,5330,-3121,0
4021,5331,-3121,0
4029,5331,-3121,0
4037,5331,-3121,0
4044,5332,-3121,0
4052,5332,-3121,0
4060,5332,-3121,0
4068,5332,-3121,0
4076,5332,-3121,0
4084,5332,-3121,0
4092,5332,-3121,0
4100,5332,-3121,0
4108,5332,-3121,0
4116,5332,-3121,0
4124,5331,-3121,0
4132,5330,-3121,0
4140,5329,-3121,0
4148,5328,-3121,0
4156,5325,-3121,0
4163,5322,-3121,0
4171,5317,-3121,0
4179,5312,-3121,0
4187,5310,-3121,0
4195,5307,-3121,0
4203,5302,-3121,0
4210,5293,-3122,0
4218,5290,-3122,0
4226,5286,-3123,0
4234,5280,-3124,0
4242,5271,-3125,0
4250,5267,-3126,0
4257,5260,-3126,0
4265,5251,-3126,0
4272,5245,-3126,0
4280,5234,-3126,0
4288,5229,-3126,0
4296,5221,-3126,0
4304,5210,-3126,0
4313,5201,-3126,0
4321,5190,-3126,0
4329,5180,-3126,0
4338,5169,-3126,0
4346,5155,-3126,0
4354,5146,-3126,0
4362,5131,-3126,0
4371,5121,-3126,0
4379,5108,-3126,0
4386,5092,-3126,0
4395,5082,-3126,0
4403,5069,-3126,0
4411,5052,-3126,0
4419,5041,-3126,0
4426,5026,-3126,0
4434,5010,-3126,0
4442,4992,-3126,0
4450,4981,-3126,0
4458,4964,-3126,0
4466,4948,-3126,0
4474,4930,-3126,0
4482,4912,-3126,0
4490,4895,-3126,0
4497,4881,-3126,0
4504,4863,-3126,0
4512,4846,-3126,0
4520,4828,-3126,0
4528,4809,-3126,0
4536,4790,-3126,0
4544,4770,-3126,0
4552,4750,-3126,0
4560,4730,-3126,0
4568,4710,-3126,0
4575,4690,-3126,0
4583,4670,-3126,0
4590,4650,-3126,0
4598,4629,-3126,0
4606,4607,-3126,0
4614,4585,-3126,0
4622,4562,-3126,0
4630,4540,-3126,0
4638,4514,-3127,0
4645,4491,-3127,0
4653,4469,-3127,0
4661,4446,-3127,0
4669,4421,-3127,0
4677,4393,-3127,0
4685,4370,-3127,0
4692,4347,-3127,0
4700,4321,-3127,0
4708,4292,-3127,0
4716,4269,-3127,0
4724,4242,-3127,0
4732,4213,-3127,0
4740,4189,-3127,0
4748,4163,-3127,0
4755,4133,-3127,0
4763,4108,-3127,0
4771,4081,-3127,0
4779,4051,-3127,0
4787,4025,-3127,0
4795,3993,-3127,0
4803,3967,-3127,0
4811,3934,-3127,0
4819,3907,-3127,0
4827,3874,-3127,0
4836,3846,-3127,0
4844,3813,-3127,0
4852,3786,-3127,0
4860,3751,-3127,0
4868,3721,-3127,0
4876,3689,-3127,0
4884,3653,-3127,0
4892,3622,-3127,0
4900,3589,-3127,0
4909,3553,-3127,0
4917,3522,-3127,0
4925,3489,-3127,0
4933,3453,-3127,0
4941,3422,-3127,0
4949,3389,-3127,0
4957,3352,-3127,0
4965,3321,-3127,0
4972,3288,-3127,0
4980,3252,-3127,0
4988,3222,-3127,0
4996,3189,-3127,0
5004,3152,-3127,0
5012,3121,-3127,0
5020,3088,-3127,0
5028,3052,-3127,0
5035,3019,-3127,0
5043,2983,-3127,0
5051,2949,-3127,0
5059,2911,-3127,0
5067,2874,-3127,0
5075,2841,-3127,0
5083,2806,-3127,0
5090,2770,-3127,0
5098,2732,-3127,0
5106,2695,-3127,0
5114,2661,-3128,0
5122,2626,-3128,0
5129,2589,-3128,0
5136,2552,-3128,0
5144,2516,-3128,0
5152,2482,-3128,0
5160,2445,-3128,0
5167,2408,-3128,0
5175,2370,-3128,0
5182,2332,-3128,0
5190,2293,-3128,0
5198,2257,-3128,0
5206,2220,-3128,0
5213,2182,-3128,0
5221,2143,-3128,0
5229,2105,-3128,0
5237,2067,-3129,0
5245,2029,-3129,0
5252,1990,-3129,0
5260,1950,-3129,0
5268,1911,-3129,0
5276,1871,-3129,0
5284,1832,-3129,0
5292,1792,-3129,0
5299,1753,-3129,0
5307,1716,-3129,0
5314,1681,-3129,0
5322,1643,-3129,0
5330,1603,-3129,0
5338,1565,-3129,0
5345,1527,-3129,0
5353,1490,-3130,0
5360,1451,-3130,0
5368,1412,-3130,0
5376,1375,-3130,0
5384,1337,-3131,0
5392,1301,-3131,0
5400,1262,-3131,0
5408,1224,-3131,0
5416,1185,-3131,0
5424,1148,-3131,0
5432,1109,-3131,0
5440,1070,-3131,0
5448,1031,-3131,0
5456,994,-3131,0
5464,958,-3131,0
5472,921,-3132,0
5480,887,-3132,0
5488,851,-3132,0
5495,814,-3132,0
5503,782,-3132,0
5510,749,-3132,0
