Senser01,Senser02,Senser03,Senser04
12101,0,-4948,0
12132,0,-4953,0
12163,0,-4955,0
12194,0,-4957,0
12223,0,-4958,0
12255,0,-4958,0
12287,0,-4958,0
12318,0,-4958,0
12349,0,-4959,0
12380,0,-4959,0
12412,1,-4959,0
12444,2,-4959,0
12477,3,-4959,0
12508,4,-4960,0
12539,4,-4960,0
12570,4,-4960,0
12601,4,-4960,0
12633,4,-4960,0
12666,4,-4960,0
12699,4,-4960,0
12731,4,-4960,0
12760,4,-4960,0
12791,7,-4960,0
12821,8,-4960,0
12853,8,-4960,0
12886,8,-4961,0
12917,8,-4961,0
12949,8,-4962,0
12980,8,-4962,0
13011,8,-4964,0
13042,8,-4965,0
13073,8,-4965,0
13104,8,-4965,0
13135,8,-4966,0
13166,8,-4966,0
13197,8,-4966,0
13228,5,-4966,0
13259,3,-4966,0
13289,2,-4966,0
13320,2,-4966,0
13351,2,-4966,0
13382,1,-4966,0
13414,0,-4966,0
13446,-1,-4966,0
13477,-3,-4967,0
13509,-6,-4967,0
13540,-8,-4967,0
13572,-13,-4968,0
13604,-16,-4968,0
13635,-17,-4969,0
13665,-18,-4971,0
13696,-19,-4972,0
13726,-21,-4972,0
13757,-23,-4972,0
13788,-25,-4973,0
13819,-27,-4973,0
13851,-29,-4974,0
13882,-32,-4976,0
13914,-35,-4977,0
13945,-37,-4977,0
13978,-38,-4979,0
14011,-38,-4980,0
14041,-38,-4980,0
14073,-29,-4981,0
14104,-22,-4981,0
14134,-19,-4981,0
14167,-10,-4981,0
14197,-2,-4981,0
14228,2,-4982,0
14261,11,-4986,0
14291,18,-4986,0
14322,22,-4986,0
14352,32,-4986,0
14383,39,-4986,0
14414,42,-4986,0
14444,52,-4987,0
14475,59,-4987,0
14506,62,-4987,0
14538,71,-4987,0
14570,76,-4987,0
14603,80,-4987,0
14635,86,-4987,0
14667,93,-4987,0
14697,99,-4987,0
14729,102,-4987,0
14760,111,-4987,0
14792,117,-4987,0
14823,122,-4987,0
14854,132,-4987,0
14883,142,-4987,0
14913,161,-4987,0
14941,200,-4987,0
14971,262,-4987,0
15002,353,-4987,0
15032,456,-4987,0
15064,562,-4987,0
15094,682,-4987,0
15122,814,-4987,0
15154,963,-4987,0
15186,1122,-4987,0
15217,1280,-4987,0
15249,1434,-4987,0
15279,1582,-4987,0
15309,1731,-4987,0
15340,1879,-4987,0
15370,2029,-4987,0
15400,2180,-4987,0
15433,2331,-4987,0
15462,2476,-4987,0
15494,2621,-4987,0
15525,2758,-4987,0
15556,2902,-4987,0
15586,3036,-4987,0
15620,3180,-4987,0
15653,3327,-4987,0
15685,3459,-4987,0
15717,3586,-4988,0
15748,3707,-4988,0
15780,3823,-4988,0
15811,3941,-4988,0
15844,4059,-4989,0
15876,4169,-4990,0
15907,4272,-4991,0
15937,4363,-4991,0
15968,4460,-4991,0
16000,4544,-4992,0
16030,4632,-4992,0
16062,4712,-4992,0
16094,4792,-4992,0
16127,4862,-4993,0
16159,4932,-4994,0
16191,4992,-4994,0
16223,5045,-4995,0
16255,5098,-4995,0
16288,5142,-4997,0
16320,5184,-4999,0
16352,5221,-4999,0
16383,5253,-5000,0
16414,5278,-5000,0
16445,5296,-5000,0
16477,5310,-5000,0
16510,5319,-5000,0
16541,5321,-5000,0
16571,5322,-5000,0
16604,5322,-5000,0
16635,5316,-5000,0
16667,5301,-5000,0
16699,5281,-5000,0
16730,5260,-5000,0
16761,5233,-5000,0
16792,5201,-5000,0
16821,5166,-4988,0
16851,5127,-4970,0
16882,5082,-4958,0
16912,5034,-4948,0
16944,4977,-4941,0
16977,4912,-4937,0
17009,4842,-4936,0
17043,4764,-4936,0
17074,4693,-4936,0
17104,4620,-4933,0
17133,4542,-4925,0
17161,4463,-4915,0
17191,4381,-4908,0
17221,4282,-4898,0
17253,4180,-4889,0
17284,4072,-4881,0
17316,3954,-4870,0
17348,3838,-4862,0
17379,3720,-4852,0
17410,3601,-4843,0
17442,3474,-4833,0
17473,3345,-4824,0
17505,3220,-4811,0
17534,3095,-4795,0
17564,2962,-4771,0
17596,2822,-4732,0
17628,2672,-4682,0
17661,2522,-4628,0
17692,2382,-4568,0
17723,2237,-4497,0
17752,2102,-4424,0
17785,1934,-4328,0
17818,1780,-4236,0
17848,1622,-4128,0
17881,1472,-4003,0
17915,1295,-3881,0
17947,1139,-3733,0
17979,970,-3581,0
18012,803,-3429,0
18044,661,-3287,0
18075,537,-3148,0
18107,432,-3008,0
18138,340,-2871,0
18167,265,-2746,0
18198,210,-2609,0
18229,164,-2474,0
18261,151,-2336,0
18293,140,-2193,0
18327,132,-2055,0
18359,123,-1924,0
18390,121,-1800,0
18420,118,-1681,0
18450,114,-1554,0
18483,110,-1428,0
18515,104,-1306,0
18547,102,-1188,0
18578,99,-1077,0
18609,93,-974,0
18639,87,-874,0
18669,82,-773,0
18701,79,-673,0
18733,73,-573,0
18766,65,-477,0
18799,62,-388,0
18830,60,-309,0
18861,57,-230,0
18893,53,-154,0
18924,48,-88,0
18954,43,-26,0
18985,41,39,0
19016,36,99,0
19048,31,155,0
19080,23,207,0
19108,22,247,0
19139,20,286,0
19169,17,319,0
19200,16,349,0
19230,14,373,0
19263,13,397,0
19296,12,412,0
19328,12,426,0
19360,12,434,0
19392,11,444,0
19424,11,449,0
19455,11,452,0
19486,11,452,0
19517,11,452,0
19549,11,452,0
19579,11,452,0
19608,11,456,0
19639,11,458,0
19671,11,458,0
19705,11,454,0
19738,11,446,0
19770,11,435,0
19801,11,425,0
19832,10,354,0
19864,10,314,0
19896,10,269,0
19929,10,220,0
19961,10,171,0
19994,7,114,0
20026,4,54,0
20060,3,-13,0
20094,2,-85,0
20126,2,-156,0
20158,2,-233,0
20190,2,-313,0
20222,2,-397,0
20253,2,-480,0
20284,2,-570,0
20314,2,-665,0
20345,2,-766,0
20376,2,-873,0
20408,2,-979,0
20439,2,-1092,0
20470,1,-1207,0
20502,-1,-1326,0
20534,-1,-1449,0
